Pigment,Alternate Names,Hex
C.I. # 11741,Pigment Yellow 74,#f5cd05
C.I. # 12315,Pigment Red 22,#b90100
C.I. # 12475,Pigment Red 170; Naphthol Red,#c5010b
C.I. # 12477,Pigment Red 210,#9a1c32
C.I. # 21095,Pigment Yellow 14,#faca12
C.I. # 21108,Pigment Yellow 83,#efa207
C.I. # 21160,Pigment Orange 16,#e32f0c
C.I. # 51319,Pigment Violet 23,#7e25a5
C.I. # 56110,Pigment Red 254,#f60a06
C.I. # 73915,Pigment Red 122,#b60042
C.I. # 74160,Pigment Blue 15; Phthalocyanine Blue BN,#242ac0
C.I. # 74260,Pigment green 7; Phthalocyanine green G,#04726f
C.I. # 77266,Pigment Black 7; Carbon Black 2,#000000
C.I. # 77491,Red Iron Oxide,#df3821
C.I. # 77891,Titanium dioxide,#ffffff
